train_loss,val_loss
37.80335144374681,37.54924392700195
37.20293028458305,37.116156260172524
36.686248281727664,36.73909823099772
36.272658389547594,36.41524887084961
35.9554270868716,36.15744845072428
35.63444344893746,35.907283782958984
35.38030077063519,35.68616803487142
35.0846355272376,35.520189921061196
34.786407968272336,35.40437126159668
34.52406485184379,35.25497309366862
34.36662731999936,34.983215967814125
34.14140900321629,34.86546389261881
33.88717410875403,34.78217697143555
33.71441546730373,34.57888603210449
33.50635453929072,34.40079879760742
33.35385347449261,34.412497202555336
33.19205499731976,34.23114140828451
33.066136899201766,34.15957768758138
32.85531554014786,34.039222717285156
32.644613970880926,33.909549395243324
32.55522736259129,33.90938345591227
32.31937885284424,33.69753805796305
32.080894097037934,33.66628964742025
32.16565720931344,33.60554504394531
31.777959118718687,33.40291817982992
31.75805361374565,33.32024129231771
31.554658723914105,33.279653549194336
31.444927920465883,33.400389989217125
31.163486853889797,33.03754234313965
31.062333894812543,32.945372581481934
30.873134820357613,32.84497038523356
30.62416644718336,32.695106506347656
30.48213481903076,32.48623784383138
